TPPD,ORVT,OFVT,VEVT,NRPD,FEPD,HRPD,CPPD,OCPD,FCOC,FVOC,FPEN,STPD,DSST,DRST,CIST,CPST,TEST,PAST,PYDD,DSPY,BTPD,DSBT,CUBT,SPPD,DSSP,DRSP,CISP,CPSP,TESP,PASP,INSP,RGSP,ZSTP,ICPD,LIPD,PESP,CTSP,DSCT,UNPD,UMPD,PNPD,PBPD,VOPD,VLPD,MOPD,PLPD,STEN
ZOR,AR01,AR01,,2391943,02/05/2016,00/01/1900,,,02/05/2016,,02/06/2016,1000413388,,,,,,,,,,,,1000413388,TOLEDO 4 LURO,,MAR DEL PLATA,7600,,,,1,AR-PBA-MDP,DEL,,2,6245,,4,CS,34,56,37,04,,1095,32,ARS,0,04,C
ZOR,AR01,AR01,,2391944,02/05/2016,00/01/1900,,,02/05/2016,,02/06/2016,1000413398,,,,,,,,,,,,1000413398,TOLEDO 1 COLON,,MAR DEL PLATA,7600,,,,1,AR-PBA-MDP,DEL,,2,6245,,7,CS,67,2,71,6,,2091,75,ARS,0,09,C
ZOR,AR01,AR01,,2391945,02/05/2016,00/01/1900,,,02/05/2016,,02/06/2016,1000413400,,,,,,,,,,,,1000413400,TOLEDO 14 JARA,,MAR DEL PLATA,7600,,,,1,AR-PBA-MDP,DEL,,2,6245,,2,CS,18,19,2,,941,3,ARS,0,03,C
ZOR,AR01,AR01,,2391947,02/05/2016,00/01/1900,,,02/05/2016,,02/06/2016,1000413390,,,,,,,,,,,,1000413390,TOLEDO 8 FALUCHO,,MAR DEL PLATA,7600,,,,1,AR-PBA-MDP,DEL,,2,6245,,2,CS,18,19,2,,941,3,ARS,0,03,C
ZOR,AR01,AR01,,2391948,02/05/2016,00/01/1900,,,02/05/2016,,02/06/2016,1000413395,,,,,,,,,,,,1000413395,TOLEDO 9 CONSTITUCION,,MAR DEL PLATA,7600,,,,1,AR-PBA-MDP,DEL,,2,6245,,13,CS,130,2,138,35,,4587,6,ARS,0,18,C
ZOR,AR01,AR01,,2391949,02/05/2016,00/01/1900,,,02/05/2016,,02/06/2016,1000413407,,,,,,,,,,,,1000413407,TOLEDO 20 NECOCHEA,,NECOCHEA,7630,,,,1,AR-PBA-NEC,DEL,,2,6245,,4,CS,40,42,04,,1778,ARS,0,04,C
ZOR,AR01,AR01,,2391950,02/05/2016,00/01/1900,,,02/05/2016,,02/06/2016,1000413391,,,,,,,,,,,,1000413391,TOLEDO 11 J. B. JUSTO,,MAR DEL PLATA,7600,,,,1,AR-PBA-MDP,DEL,,2,6245,,25,CS,229,4,244,5,,8516,55,ARS,0,29,C
ZOR,AR01,AR01,,2391951,02/05/2016,00/01/1900,,,02/05/2016,,02/06/2016,1000413403,,,,,,,,,,,,1000413403,TOLEDO 17 SAAVEDRA,,MAR DEL PLATA,7600,,,,1,AR-PBA-MDP,DEL,,2,6245,,5,CS,53,55,8,,2234,39,ARS,0,07,C
ZOR,AR01,AR01,,2391952,02/05/2016,00/01/1900,,,02/05/2016,,02/06/2016,1000413413,,,,,,,,,,,,1000413413,TOLEDO 26 ESTRADA,,MAR DEL PLATA,7600,,,,1,AR-PBA-MDP,DEL,,2,6245,,5,CS,43,2,46,3,,1369,15,ARS,0,06,C
ZOR,AR01,AR01,,2391990,02/05/2016,00/01/1900,,,02/05/2016,,02/11/2016,1000413541,,,,,,,,,,,,1000413541,DEPOSITO I-FLOW OLIVOS,,ITUZAINGO,1714,,,,1,AR-BUE-SMK,DEL,,2,6207,,13,CS,170,177,99,,2824,01,ARS,0,19,A
ZOR,AR01,AR01,,2391991,02/05/2016,00/01/1900,,,02/05/2016,,02/11/2016,1000413541,,,,,,,,,,,,1000413541,DEPOSITO I-FLOW OLIVOS,,ITUZAINGO,1714,,,,1,AR-BUE-SMK,DEL,,2,6207,,10,CS,132,137,89,,2075,27,ARS,0,15,A
ZOR,AR01,AR01,,2391993,02/05/2016,00/01/1900,,,02/05/2016,,02/11/2016,1000413541,,,,,,,,,,,,1000413541,DEPOSITO I-FLOW OLIVOS,,ITUZAINGO,1714,,,,1,AR-BUE-SMK,DEL,,2,6207,,44,CS,232,3,278,84,,22219,07,ARS,0,73,A
ZOR,AR01,AR01,,2391994,02/05/2016,00/01/1900,,,02/05/2016,,02/11/2016,1000413539,,,,,,,,,,,,1000413539,LA ANONIMA CD ITUZAINGO,,ITUZAINGO,1714,,,,1,AR-BUE-SMK,DEL,,2,6207,,84,CS,913,8,969,42,,32545,49,ARS,1,18,A
ZOR,AR01,AR01,,2391995,02/05/2016,00/01/1900,,,02/05/2016,,02/11/2016,1000413541,,,,,,,,,,,,1000413541,DEPOSITO I-FLOW OLIVOS,,ITUZAINGO,1714,,,,1,AR-BUE-SMK,DEL,,2,6207,,4,CS,50,64,53,52,,1455,08,ARS,0,07,A
ZOR,AR01,AR01,,2391996,02/05/2016,00/01/1900,,,02/05/2016,,02/11/2016,1000413541,,,,,,,,,,,,1000413541,DEPOSITO I-FLOW OLIVOS,,ITUZAINGO,1714,,,,1,AR-BUE-SMK,DEL,,2,6207,,65,CS,720,68,763,82,,28707,29,ARS,0,94,A
ZOR,AR01,AR01,,2391997,02/05/2016,00/01/1900,,,02/05/2016,,02/11/2016,1000413541,,,,,,,,,,,,1000413541,DEPOSITO I-FLOW OLIVOS,,ITUZAINGO,1714,,,,1,AR-BUE-SMK,DEL,,2,6207,,15,CS,86,14,101,555,,8250,84,ARS,0,29,A
ZOR,AR01,AR01,,2391998,02/05/2016,00/01/1900,,,02/05/2016,,02/11/2016,1000413539,,,,,,,,,,,,1000413539,LA ANONIMA CD ITUZAINGO,,ITUZAINGO,1714,,,,1,AR-BUE-SMK,DEL,,2,6207,,18,CS,95,96,114,025,,8856,75,ARS,0,3,A
ZOR,AR01,AR01,,2392689,02/05/2016,00/01/1900,,,02/05/2016,,02/05/2016,1000413335,,,,,,,,,,,,1000413335,COOP.OBRERA 24 BARRIO SAN ROQUE,,BAHIA BLANCA,8000,,,,1,AR-SURN-BB,DEL,,2,6204,,4,CS,34,56,37,05,,1163,22,ARS,0,05,C
ZOR,AR01,AR01,,2392690,02/05/2016,00/01/1900,,,02/05/2016,,02/05/2016,1000413344,,,,,,,,,,,,1000413344,COOP.OBRERA 13 SOCRATES,,BAHIA BLANCA,8000,,,,1,AR-SURN-BB,DEL,,2,6204,,3,CS,26,28,28,12,,983,12,ARS,0,03,C
ZOR,AR01,AR01,,2392691,02/05/2016,00/01/1900,,,02/05/2016,,02/05/2016,1000418892,,,,,,,,,,,,1000418892,COOP.OBRERA 106 PEHUAJO,,PEHUAJO,6450,,,,1,AR-BUE-MG,DEL,,2,6207,,7,CS,57,6,61,94,,2048,85,ARS,0,08,C
ZOR,AR01,AR01,,2392958,02/06/2016,00/01/1900,,,02/05/2016,,02/05/2016,1000413685,,,,,,,,,,,,1000413685,CD WALMART MORENO,,MORENO,1744,,,,1,AR-BUE-CDS,DEL,,2,6207,,10,CS,57,69,3,,7420,1,ARS,0,17,A
ZOR,AR01,AR01,,2393032,02/06/2016,00/01/1900,,,02/05/2016,,02/05/2016,1000414002,,,,,,,,,,,,1000414002,SUPER VEA 752 TRELEW,,TRELEW,9100,,,,17,AR-SURE-TW,DEL,,2,6203,,8,CS,120,125,04,,1919,4,ARS,0,14,C
ZOR,AR01,AR01,,2393112,02/06/2016,00/01/1900,,,02/06/2016,,02/06/2016,1000413365,,,,,,,,,,,,1000413365,COOP.OBRERA 70 CTE. ING. BALLESTER,,CENTENARIO,8309,,,,20,AR-SURO-CE,DEL,,2,6202,,10,CS,94,68,101,24,,3775,47,ARS,0,13,C
ZOR,AR01,AR01,,2393478,02/06/2016,00/01/1900,,,02/06/2016,,02/06/2016,1000413279,,,,,,,,,,,,1000413279,COOP.OBRERA 60 GRAL. ROCA,,GENERAL ROCA,8332,,,,22,AR-SURO-GR,DEL,,2,6202,,10,CS,115,72,121,996,,3133,32,ARS,0,15,C
ZOR,AR01,AR01,,2393668,02/06/2016,00/01/1900,,,02/06/2016,,02/06/2016,1000413347,,,,,,,,,,,,1000413347,COOP.OBRERA 15 ALSINA,,BAHIA BLANCA,8000,,,,1,AR-SURN-BB,DEL,,2,6204,,1,CS,4,7,5,845,,494,67,ARS,0,01,C
ZOR,AR01,AR01,,2393669,02/06/2016,00/01/1900,,,02/06/2016,,02/06/2016,1000413347,,,,,,,,,,,,1000413347,COOP.OBRERA 15 ALSINA,,BAHIA BLANCA,8000,,,,1,AR-SURN-BB,DEL,,2,6204,,2,CS,18,19,2,,908,76,ARS,0,03,C
ZOR,AR01,AR01,,2394035,02/07/2016,00/01/1900,,,02/07/2016,,02/07/2016,1000413841,,,,,,,,,,,,1000413841,SUPER VEA 185 EX 18TUNUYAN,,MENDOZA,5500,,,,7,AR-CUYO-MZ,DEL,,2,6201,,6,CS,51,26,55,535,,1962,82,ARS,0,07,C
ZOR,AR01,AR01,,2394979,02/08/2016,00/01/1900,,,02/08/2016,,02/08/2016,1000413712,,,,,,,,,,,,1000413712,JUMBO 23 ROSARIO,,ROSARIO,2000,,,,12,AR-NEA-RO,DEL,,2,6207,,37,CS,348,32,372,398,,16732,27,ARS,0,47,B
ZOR,AR01,AR01,,2395041,02/08/2016,00/01/1900,,,02/08/2016,,02/08/2016,1000414028,,,,,,,,,,,,1000414028,SUPER VEA 645 JUJUY 1 CIUDAD DE NIE,,SAN SALVADOR DE JUJUY,4600,,,,6,AR-NOA-JU1,DEL,,2,6257,,30,CS,309,6,328,65,,9593,85,ARS,0,4,A
ZOR,AR01,AR01,,2395047,02/08/2016,00/01/1900,,,02/08/2016,,02/08/2016,1000413862,,,,,,,,,,,,1000413862,SUPER VEA 433 CIPOLLETTI,,RIO NEGRO,8324,,,,22,AR-SURO-CI,DEL,,2,6202,,15,CS,147,6,157,37,,5382,91,ARS,0,21,C
ZOR,AR01,AR01,,2395117,02/08/2016,00/01/1900,,,02/08/2016,,02/08/2016,1000413889,,,,,,,,,,,,1000413889,SUPER VEA 853 SAN LUIS II,,SAN LUIS,5700,,,,11,AR-CUYO-SL,DEL,,2,6201,,6,CS,58,92,62,68,,2028,88,ARS,0,07,C
ZOR,AR01,AR01,,2395169,02/08/2016,00/01/1900,,,02/08/2016,,02/08/2016,1000414031,,,,,,,,,,,,1000414031,SUPER VEA 546 DALVIAN,,MENDOZA,5500,,,,7,AR-CUYO-MZ,DEL,,2,6201,,8,CS,100,104,36,,2077,12,ARS,0,11,C
ZOR,AR01,AR01,,2395274,02/08/2016,00/01/1900,,,02/08/2016,,02/08/2016,1000413905,,,,,,,,,,,,1000413905,SUPER VEA 187 EX 20 MAIPU 2,,MENDOZA,5500,,,,7,AR-CUYO-MZ,DEL,,2,6201,,5,CS,50,28,53,67,,1810,58,ARS,0,06,C
ZOR,AR01,AR01,,2395306,02/08/2016,00/01/1900,,,02/08/2016,,02/08/2016,1000413897,,,,,,,,,,,,1000413897,SUPER VEA 189 EX 23 SHOP. MENDOZA,,MENDOZA,5500,,,,7,AR-CUYO-MZ,DEL,,2,6201,,17,CS,150,82,163,24,,7466,04,ARS,0,24,C
ZOR,AR01,AR01,,2395378,02/08/2016,00/01/1900,,,02/08/2016,,02/08/2016,1000413929,,,,,,,,,,,,1000413929,SUPER VEA 173 EX 5 GUAYMALLEN 2,,MENDOZA,5500,,,,7,AR-CUYO-MZ,DEL,,2,6201,,2,CS,30,31,16,,473,12,ARS,0,03,C
ZOR,AR01,AR01,,2395379,02/08/2016,00/01/1900,,,02/08/2016,,02/08/2016,1000413905,,,,,,,,,,,,1000413905,SUPER VEA 187 EX 20 MAIPU 2,,MENDOZA,5500,,,,7,AR-CUYO-MZ,DEL,,2,6201,,2,CS,18,19,2,,1090,1,ARS,0,02,C
ZOR,AR01,AR01,,2395380,02/08/2016,00/01/1900,,,02/08/2016,,02/08/2016,1000413967,,,,,,,,,,,,1000413967,JUMBO 27 TUCUMAN,,YERBA BUENA,4146,,,,14,AR-NOA-TUC,DEL,,2,6210,,31,CS,390,406,99,,8104,03,ARS,0,44,C
ZOR,AR01,AR01,,2395381,02/08/2016,00/01/1900,,,02/08/2016,,02/08/2016,1000413905,,,,,,,,,,,,1000413905,SUPER VEA 187 EX 20 MAIPU 2,,MENDOZA,5500,,,,7,AR-CUYO-MZ,DEL,,2,6201,,4,CS,50,52,18,,1038,56,ARS,0,05,C
ZOR,AR01,AR01,,2395382,02/08/2016,00/01/1900,,,02/08/2016,,02/08/2016,1000414026,,,,,,,,,,,,1000414026,JUMBO 5225 VISTA PUEBLO,,CHACRAS DE CORIA,5505,,,,7,AR-CUYO-MZ,DEL,,2,6201,,7,CS,105,109,06,,1655,92,ARS,0,12,C
ZOR,AR01,AR01,,2395403,02/08/2016,00/01/1900,,,02/08/2016,,02/08/2016,1000413924,,,,,,,,,,,,1000413924,SUPER VEA 171 EX 2 GODOY CRUZ 2,,MENDOZA,5500,,,,7,AR-CUYO-MZ,DEL,,2,6201,,7,CS,95,98,92,,1748,24,ARS,0,1,C
ZOR,AR01,AR01,,2395429,02/08/2016,00/01/1900,,,02/08/2016,,02/08/2016,1000413890,,,,,,,,,,,,1000413890,SUPER VEA 194 EX 28 CAPITAL,,SAN JUAN,5400,,,,10,AR-CUYO-SJ,DEL,,2,6201,,10,CS,92,54,99,28,,4370,51,ARS,0,13,C
ZOR,AR01,AR01,,2395431,02/08/2016,00/01/1900,,,02/08/2016,,02/08/2016,1000413350,,,,,,,,,,,,1000413350,COOP.OBRERA 5 CENTRO,,BAHIA BLANCA,8000,,,,1,AR-SURN-BB,DEL,,2,6204,,6,CS,79,82,34,,1411,64,ARS,0,09,C
ZOR,AR01,AR01,,2395484,02/08/2016,00/01/1900,,,02/08/2016,,02/08/2016,1000413782,,,,,,,,,,,,1000413782,DISCO 22 SANTA FE,,CAPITAL FEDERAL,1425,,,,0,AR-BUE-SMK,DEL,,2,6207,,12,CS,79,02,88,905,,5904,21,ARS,0,17,C
ZOR,AR01,AR01,,2395485,02/08/2016,00/01/1900,,,02/08/2016,,02/08/2016,1000413893,,,,,,,,,,,,1000413893,SUPER VEA 180 EX 12 MENDOZA 1,,MENDOZA,5500,,,,7,AR-CUYO-MZ,DEL,,2,6201,,5,CS,43,2,46,3,,1378,75,ARS,0,06,C
ZOR,AR01,AR01,,2395488,02/08/2016,00/01/1900,,,02/08/2016,,02/08/2016,1000413722,,,,,,,,,,,,1000413722,SUPER VEA 191 EX 25,,SAN RAFAEL,5600,,,,7,AR-CUYO-SR,DEL,,2,6201,,24,CS,216,6,235,1,,10750,05,ARS,0,35,C
ZOR,AR01,AR01,,2395604,02/08/2016,00/01/1900,,,02/08/2016,,02/09/2016,1000414252,,,,,,,,,,,,1000414252,CARREFOUR 132 CATAMARCA,,CATAMARCA,4700,,,,2,AR-CTRO-CA,DEL,,2,6211,,15,CS,225,233,7,,3447,45,ARS,0,25,C
ZOR,AR01,AR01,,2395631,02/08/2016,00/01/1900,,,02/08/2016,,02/09/2016,1001202238,,,,,,,,,,,,1001202238,LIBERTAD MINI RAFNUN 4304,,Córdoba,5008,,,,3,AR-CTRO-CO,DEL,,2,6211,,3,CS,22,34,24,705,,1259,37,ARS,0,03,C
ZOR,AR01,AR01,,2395664,02/08/2016,00/01/1900,,,02/08/2016,,02/08/2016,1000413890,,,,,,,,,,,,1000413890,SUPER VEA 194 EX 28 CAPITAL,,SAN JUAN,5400,,,,10,AR-CUYO-SJ,DEL,,2,6201,,12,CS,150,156,54,,3115,68,ARS,0,17,C
ZOR,AR01,AR01,,2395744,02/08/2016,00/01/1900,,,02/08/2016,,02/08/2016,1000413734,,,,,,,,,,,,1000413734,SUPER VEA 399 EX 32,,MENDOZA,5500,,,,7,AR-CUYO-MZ,DEL,,2,6201,,6,CS,90,93,48,,1419,36,ARS,0,1,C
ZOR,AR01,AR01,,2395801,02/08/2016,00/01/1900,,,02/08/2016,,02/08/2016,1000413722,,,,,,,,,,,,1000413722,SUPER VEA 191 EX 25,,SAN RAFAEL,5600,,,,7,AR-CUYO-SR,DEL,,2,6201,,30,CS,325,340,65,,8250,8,ARS,0,36,C
ZOR,AR01,AR01,,2395826,02/08/2016,00/01/1900,,,02/08/2016,,02/08/2016,1000413277,,,,,,,,,,,,1000413277,COOP.OBRERA 4 NOROESTE,,BAHIA BLANCA,8000,,,,1,AR-SURN-BB,DEL,,2,6204,,4,CS,39,28,42,41,,1434,74,ARS,0,05,C
ZOR,AR01,AR01,,2395827,02/08/2016,00/01/1900,,,02/08/2016,,02/08/2016,1000413336,,,,,,,,,,,,1000413336,COOP.OBRERA 35 BARRIO PACIFICO,,BAHIA BLANCA,8000,,,,1,AR-SURN-BB,DEL,,2,6204,,1,CS,8,64,9,26,,264,37,ARS,0,01,C
ZOR,AR01,AR01,,2395828,02/08/2016,00/01/1900,,,02/08/2016,,02/08/2016,1000413277,,,,,,,,,,,,1000413277,COOP.OBRERA 4 NOROESTE,,BAHIA BLANCA,8000,,,,1,AR-SURN-BB,DEL,,2,6204,,2,CS,10,1,11,623,,969,55,ARS,0,02,C
ZOR,AR01,AR01,,2395948,02/08/2016,00/01/1900,,,02/08/2016,,02/09/2016,1001202237,,,,,,,,,,,,1001202237,LIBERTAD MINI SAGFAM 4204,,Córdoba,5008,,,,3,AR-CTRO-CO,DEL,,2,6211,,2,CS,13,34,15,105,,804,99,ARS,0,02,C
ZOR,AR01,AR01,,2395951,02/08/2016,00/01/1900,,,02/08/2016,,02/08/2016,1000413334,,,,,,,,,,,,1000413334,COOP.OBRERA 46 BARRIO RICHIERI,,BAHIA BLANCA,8000,,,,1,AR-SURN-BB,DEL,,2,6204,,4,CS,35,84,38,34,,1536,63,ARS,0,05,C
ZOR,AR01,AR01,,2396155,02/08/2016,00/01/1900,,,02/08/2016,,02/08/2016,1000413283,,,,,,,,,,,,1000413283,COOP.OBRERA 63 VILLA REGINA,,VILLA REGINA,8336,,,,22,AR-SURO-VR,DEL,,2,6202,,1,CS,15,15,58,,235,89,ARS,0,02,C
ZOR,AR01,AR01,,2396261,02/08/2016,00/01/1900,,,02/08/2016,,02/08/2016,1000413965,,,,,,,,,,,,1000413965,JUMBO 21 MENDOZA,,MENDOZA,5500,,,,7,AR-CUYO-MZ,DEL,,2,6201,,20,CS,250,260,9,,5192,8,ARS,0,28,C
ZOR,AR01,AR01,,2396552,02/08/2016,00/01/1900,,,02/08/2016,,02/08/2016,1000413978,,,,,,,,,,,,1000413978,DISCO 232 VILLA MARIA II,,CORDOBA,5900,,,,3,AR-CTRO-CO,DEL,,2,6211,,6,CS,58,56,62,34,,1830,68,ARS,0,07,C
ZOR,AR01,AR01,,2397058,02/08/2016,00/01/1900,,,02/08/2016,,02/08/2016,1000413831,,,,,,,,,,,,1000413831,DISCO 57 SAN LUIS,,MAR DEL PLATA,7600,,,,1,AR-PBA-MDP,DEL,,2,6245,,9,CS,78,6,84,15,,3981,18,ARS,0,11,C
ZOR,AR01,AR01,,2397370,02/08/2016,00/01/1900,,,02/08/2016,,02/08/2016,1000413340,,,,,,,,,,,,1000413340,COOP.OBRERA 6 BARRIO ALMAFUERTE,,BAHIA BLANCA,8000,,,,1,AR-SURN-BB,DEL,,2,6204,,6,CS,51,12,55,3,,2131,46,ARS,0,07,C
ZOR,AR01,AR01,,2398328,02/09/2016,00/01/1900,,,02/09/2016,,02/09/2016,1000413770,,,,,,,,,,,,1000413770,DISCO 111 CITY BELL,,CITY BELL,1896,,,,1,AR-BUE-SMK,DEL,,2,6207,,57,CS,548,6,585,955,,27908,49,ARS,0,8,C
ZOR,AR01,AR01,,2398329,02/09/2016,00/01/1900,,,02/09/2016,,02/09/2016,1000413991,,,,,,,,,,,,1000413991,DISCO 154 MORON 2,,MORON,1708,,,,1,AR-BUE-SMK,DEL,,2,6207,,19,CS,168,92,180,71,,7864,69,ARS,0,23,C
ZOR,AR01,AR01,,2398331,02/09/2016,00/01/1900,,,02/08/2016,,02/08/2016,1000413858,,,,,,,,,,,,1000413858,SUPER VEA 706 PTO.MADRYN,,PUERTO MADRYN,9120,,,,17,AR-SURE-MA,DEL,,2,6203,,40,CS,344,54,373,078,,19950,72,ARS,0,59,C
ZOR,AR01,AR01,,2398332,02/09/2016,00/01/1900,,,02/08/2016,,02/08/2016,1000413858,,,,,,,,,,,,1000413858,SUPER VEA 706 PTO.MADRYN,,PUERTO MADRYN,9120,,,,17,AR-SURE-MA,DEL,,2,6203,,6,CS,75,78,57,,1578,03,ARS,0,08,C
ZOR,AR01,AR01,,2398426,02/09/2016,00/01/1900,,,02/09/2016,,02/10/2016,1000414370,,,,,,,,,,,,1000414370,CARREFOUR 217 EXPRESS SAN MIGUEL,,SAN MIGUEL,1663,,,,1,AR-BUE-SMK,DEL,,2,6207,,15,CS,175,183,,3550,55,ARS,0,19,C
ZOR,AR01,AR01,,2398470,02/09/2016,00/01/1900,,,02/09/2016,,02/09/2016,1000413813,,,,,,,,,,,,1000413813,DISCO 112 BANFIELD,,BANFIELD,1828,,,,1,AR-BUE-SMK,DEL,,2,6207,,36,CS,364,2,388,89,,14483,13,ARS,0,5,C
ZOR,AR01,AR01,,2398595,02/09/2016,00/01/1900,,,02/09/2016,,02/10/2016,1000413579,,,,,,,,,,,,1000413579,LIBERTAD POETA LUGON,,CORDOBA,5000,,,,3,AR-CTRO-CO,DEL,,2,6211,,23,CS,250,1,266,48,,8642,41,ARS,0,33,C
ZOR,AR01,AR01,,2398679,02/09/2016,00/01/1900,,,02/09/2016,,02/09/2016,1000413765,,,,,,,,,,,,1000413765,JUMBO 628 SAN FERNANO,,SAN FERNANDO,1646,,,,1,AR-BUE-SMK,DEL,,2,6207,,19,CS,132,88,147,145,,10092,16,ARS,0,25,C
ZOR,AR01,AR01,,2398694,02/09/2016,00/01/1900,,,02/09/2016,,02/09/2016,1000413367,,,,,,,,,,,,1000413367,COOP.OBRERA 18 ROCA,,BAHIA BLANCA,8000,,,,1,AR-SURN-BB,DEL,,2,6204,,1,CS,15,15,58,,235,89,ARS,0,02,C
ZOR,AR01,AR01,,2398695,02/09/2016,00/01/1900,,,02/09/2016,,02/09/2016,1000413295,,,,,,,,,,,,1000413295,COOP.OBRERA 92 MAR DEL PLATA,,MAR DEL PLATA,7600,,,,1,AR-PBA-MDP,DEL,,2,6245,,8,CS,74,76,79,87,,2609,71,ARS,0,1,C
ZOR,AR01,AR01,,2398711,02/09/2016,00/01/1900,,,02/09/2016,,02/09/2016,1000413779,,,,,,,,,,,,1000413779,SUPER VEA 636 LA PLATA,,LA PLATA,1900,,,,1,AR-BUE-SMK,DEL,,2,6207,,12,CS,122,24,129,83,,6282,03,ARS,0,17,B
ZOR,AR01,AR01,,2398811,02/09/2016,00/01/1900,,,02/09/2016,,02/09/2016,1000413826,,,,,,,,,,,,1000413826,DISCO 159 MERLO 2,,MERLO,1722,,,,1,AR-BUE-SMK,DEL,,2,6207,,17,CS,176,52,187,81,,5894,2,ARS,0,22,C
ZOR,AR01,AR01,,2398812,02/09/2016,00/01/1900,,,02/09/2016,,02/09/2016,1000413967,,,,,,,,,,,,1000413967,JUMBO 27 TUCUMAN,,YERBA BUENA,4146,,,,14,AR-NOA-TUC,DEL,,2,6210,,28,CS,370,385,7,,7294,ARS,0,41,C
ZOR,AR01,AR01,,2398876,02/09/2016,00/01/1900,,,02/09/2016,,02/09/2016,1000413982,,,,,,,,,,,,1000413982,SUPER VEA 698 MONTE GRANDE,,MONTE GRANDE,1842,,,,1,AR-BUE-SMK,DEL,,2,6207,,11,CS,106,96,114,985,,4004,26,ARS,0,15,C
ZOR,AR01,AR01,,2398982,02/09/2016,00/01/1900,,,02/09/2016,,02/09/2016,1000413333,,,,,,,,,,,,1000413333,COOP: OBRERA 11 V. ROSAS,,BAHIA BLANCA,8000,,,,1,AR-SURN-BB,DEL,,2,6204,,6,CS,50,76,54,46,,1875,36,ARS,0,06,C
ZOR,AR01,AR01,,2398984,02/09/2016,00/01/1900,,,02/09/2016,,02/09/2016,1000413346,,,,,,,,,,,,1000413346,COOP.OBRERA 51 GRAL. PAZ,,BAHIA BLANCA,8000,,,,1,AR-SURN-BB,DEL,,2,6204,,2,CS,19,20,23,,908,76,ARS,0,02,C
ZOR,AR01,AR01,,2399031,02/09/2016,00/01/1900,,,02/09/2016,,02/11/2016,1000414310,,,,,,,,,,,,1000414310,CARREFOUR 6 SALGUERO,,CAPITAL FEDERAL,1425,,,,0,AR-BUE-SMK,DEL,,2,6207,,9,CS,115,119,94,,2109,71,ARS,0,12,C
ZOR,AR01,AR01,,2399071,02/09/2016,00/01/1900,,,02/09/2016,,02/11/2016,1000413269,,,,,,,,,,,,1000413269,SALKE FRESH S.R.L.,,SAN JUSTO,1754,,,,1,AR-BUE-DIS,DEL,,3,6207,,130,CS,2190,2275,4,,50504,4,ARS,2,5,A
ZOR,AR01,AR01,,2399182,02/09/2016,00/01/1900,,,02/09/2016,,02/09/2016,1000413928,,,,,,,,,,,,1000413928,DISCO 453 RUTA 9,,CORDOBA,5000,,,,3,AR-CTRO-CO,DEL,,2,6211,,12,CS,98,3,106,265,,3632,64,ARS,0,13,C
ZOR,AR01,AR01,,2399183,02/09/2016,00/01/1900,,,02/09/2016,,02/09/2016,1000413321,,,,,,,,,,,,1000413321,COOP.OBRERA 47 CNEL.PRINGLES II,,CORONEL PRINGLES,7530,,,,1,AR-SURN-PR,DEL,,2,6204,,10,CS,140,28,146,74,,2844,12,ARS,0,17,C
ZOR,AR01,AR01,,2399306,02/09/2016,00/01/1900,,,02/09/2016,,02/09/2016,1000413983,,,,,,,,,,,,1000413983,DISCO 441 ESTRADA,,CORDOBA,5000,,,,3,AR-CTRO-CO,DEL,,2,6211,,15,CS,109,6,121,655,,6745,35,ARS,0,21,C
ZOR,AR01,AR01,,2399353,02/09/2016,00/01/1900,,,02/09/2016,,02/09/2016,1001208784,,,,,,,,,,,,1001208784,COOP.OBRERA 113-NEUQUEN II,,NEUQUEN,,,,,,AR-SURO-NQ,DEL,,3,6202,,8,CS,69,68,74,62,,3073,26,ARS,0,1,C
ZOR,AR01,AR01,,2399540,02/09/2016,00/01/1900,,,02/09/2016,,02/09/2016,1000413745,,,,,,,,,,,,1000413745,DISCO 55 J.B.JUSTO,,MAR DEL PLATA,7600,,,,1,AR-PBA-MDP,DEL,,2,6245,,2,CS,12,2,13,35,,1246,48,ARS,0,03,C
ZOR,AR01,AR01,,2399541,02/09/2016,00/01/1900,,,02/09/2016,,02/09/2016,1000413745,,,,,,,,,,,,1000413745,DISCO 55 J.B.JUSTO,,MAR DEL PLATA,7600,,,,1,AR-PBA-MDP,DEL,,2,6245,,11,CS,98,6,105,39,,5071,28,ARS,0,14,C
ZOR,AR01,AR01,,2400553,02/09/2016,00/01/1900,,,02/09/2016,,02/09/2016,1000413299,,,,,,,,,,,,1000413299,COOP.OBRERA 98 MONTE HERMOSO II,,BAHIA BLANCA,8000,,,,1,AR-SURN-BB,DEL,,2,6204,,12,CS,116,16,123,52,,4051,24,ARS,0,15,C
ZOR,AR01,AR01,,2400554,02/09/2016,00/01/1900,,,02/09/2016,,02/09/2016,1000413372,,,,,,,,,,,,1000413372,COOP.OBRERA 77 VIEDMA,,VIEDMA,8500,,,,22,AR-SURN-VI,DEL,,2,6204,,4,CS,20,6,24,498,,2329,9,ARS,0,06,C
ZOR,AR01,AR01,,2401141,02/10/2016,00/01/1900,,,02/10/2016,,02/11/2016,1000414220,,,,,,,,,,,,1000414220,CARREFOUR 254 EXPRESS LAS LOMAS,,SAN ISIDRO,1642,,,,1,AR-BUE-SMK,DEL,,2,6207,,2,CS,19,20,23,,1096,42,ARS,0,02,C
